,DIAGNOSIS CODE,LONG DESCRIPTION,HIERARCHY
1535,1605,Malignant neoplasm of sphenoidal sinus,"['140-239', '160-165', '160', '1605']"
1536,1608,Malignant neoplasm of other accessory sinuses,"['140-239', '160-165', '160', '1608']"
1537,1609,"Malignant neoplasm of accessory sinus, unspecified","['140-239', '160-165', '160', '1609']"
1538,1610,Malignant neoplasm of glottis,"['140-239', '160-165', '161', '1610']"
1539,1611,Malignant neoplasm of supraglottis,"['140-239', '160-165', '161', '1611']"
1540,1612,Malignant neoplasm of subglottis,"['140-239', '160-165', '161', '1612']"
1541,1613,Malignant neoplasm of laryngeal cartilages,"['140-239', '160-165', '161', '1613']"
1542,1618,Malignant neoplasm of other specified sites of larynx,"['140-239', '160-165', '161', '1618']"
1543,1619,"Malignant neoplasm of larynx, unspecified","['140-239', '160-165', '161', '1619']"
1544,1620,Malignant neoplasm of trachea,"['140-239', '160-165', '162', '1620']"
1545,1622,Malignant neoplasm of main bronchus,"['140-239', '160-165', '162', '1622']"
1546,1623,"Malignant neoplasm of upper lobe, bronchus or lung","['140-239', '160-165', '162', '1623']"
1547,1624,"Malignant neoplasm of middle lobe, bronchus or lung","['140-239', '160-165', '162', '1624']"
1548,1625,"Malignant neoplasm of lower lobe, bronchus or lung","['140-239', '160-165', '162', '1625']"
1549,1628,Malignant neoplasm of other parts of bronchus or lung,"['140-239', '160-165', '162', '1628']"
1550,1629,"Malignant neoplasm of bronchus and lung, unspecified","['140-239', '160-165', '162', '1629']"
1551,1630,Malignant neoplasm of parietal pleura,"['140-239', '160-165', '163', '1630']"
1552,1631,Malignant neoplasm of visceral pleura,"['140-239', '160-165', '163', '1631']"
1553,1638,Malignant neoplasm of other specified sites of pleura,"['140-239', '160-165', '163', '1638']"
1554,1639,"Malignant neoplasm of pleura, unspecified","['140-239', '160-165', '163', '1639']"
1555,1640,Malignant neoplasm of thymus,"['140-239', '160-165', '164', '1640']"
1556,1641,Malignant neoplasm of heart,"['140-239', '160-165', '164', '1641']"
1557,1642,Malignant neoplasm of anterior mediastinum,"['140-239', '160-165', '164', '1642']"
1558,1643,Malignant neoplasm of posterior mediastinum,"['140-239', '160-165', '164', '1643']"
1559,1648,Malignant neoplasm of other parts of mediastinum,"['140-239', '160-165', '164', '1648']"
1560,1649,"Malignant neoplasm of mediastinum, part unspecified","['140-239', '160-165', '164', '1649']"
1561,1650,"Malignant neoplasm of upper respiratory tract, part unspecified","['140-239', '160-165', '165', '1650']"
1562,1658,Malignant neoplasm of other sites within the respiratory system and intrathoracic organs,"['140-239', '160-165', '165', '1658']"
1563,1659,Malignant neoplasm of ill-defined sites within the respiratory system,"['140-239', '160-165', '165', '1659']"
1564,1700,"Malignant neoplasm of bones of skull and face, except mandible","['140-239', '170-176', '170', '1700']"
1565,1701,Malignant neoplasm of mandible,"['140-239', '170-176', '170', '1701']"
1566,1702,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx","['140-239', '170-176', '170', '1702']"
1567,1703,"Malignant neoplasm of ribs, sternum, and clavicle","['140-239', '170-176', '170', '1703']"
1568,1704,Malignant neoplasm of scapula and long bones of upper limb,"['140-239', '170-176', '170', '1704']"
1569,1705,Malignant neoplasm of short bones of upper limb,"['140-239', '170-176', '170', '1705']"
1570,1706,"Malignant neoplasm of pelvic bones, sacrum, and coccyx","['140-239', '170-176', '170', '1706']"
1571,1707,Malignant neoplasm of long bones of lower limb,"['140-239', '170-176', '170', '1707']"
1572,1708,Malignant neoplasm of short bones of lower limb,"['140-239', '170-176', '170', '1708']"
1573,1709,"Malignant neoplasm of bone and articular cartilage, site unspecified","['140-239', '170-176', '170', '1709']"
1574,1710,"Malignant neoplasm of connective and other soft tissue of head, face, and neck","['140-239', '170-176', '171', '1710']"
1575,1712,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder","['140-239', '170-176', '171', '1712']"
1576,1713,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip","['140-239', '170-176', '171', '1713']"
1577,1714,Malignant neoplasm of connective and other soft tissue of thorax,"['140-239', '170-176', '171', '1714']"
1578,1715,Malignant neoplasm of connective and other soft tissue of abdomen,"['140-239', '170-176', '171', '1715']"
1579,1716,Malignant neoplasm of connective and other soft tissue of pelvis,"['140-239', '170-176', '171', '1716']"
1580,1717,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified","['140-239', '170-176', '171', '1717']"
1581,1718,Malignant neoplasm of other specified sites of connective and other soft tissue,"['140-239', '170-176', '171', '1718']"
1582,1719,"Malignant neoplasm of connective and other soft tissue, site unspecified","['140-239', '170-176', '171', '1719']"
1583,1720,Malignant melanoma of skin of lip,"['140-239', '170-176', '172', '1720']"
1584,1721,"Malignant melanoma of skin of eyelid, including canthus","['140-239', '170-176', '172', '1721']"
1585,1722,Malignant melanoma of skin of ear and external auditory canal,"['140-239', '170-176', '172', '1722']"
1586,1723,Malignant melanoma of skin of other and unspecified parts of face,"['140-239', '170-176', '172', '1723']"
1587,1724,Malignant melanoma of skin of scalp and neck,"['140-239', '170-176', '172', '1724']"
1588,1725,"Malignant melanoma of skin of trunk, except scrotum","['140-239', '170-176', '172', '1725']"
1589,1726,"Malignant melanoma of skin of upper limb, including shoulder","['140-239', '170-176', '172', '1726']"
1590,1727,"Malignant melanoma of skin of lower limb, including hip","['140-239', '170-176', '172', '1727']"
1591,1728,Malignant melanoma of other specified sites of skin,"['140-239', '170-176', '172', '1728']"
1592,1729,"Melanoma of skin, site unspecified","['140-239', '170-176', '172', '1729']"
1593,1730,Oth and unspec malignant neoplasm of skin of lip,"['140-239', '170-176', '173', '1730']"
1594,17300,Unspecified malignant neoplasm of skin of lip,"['140-239', '170-176', '173', '1730', '17300']"
1595,17301,Basal cell carcinoma of skin of lip,"['140-239', '170-176', '173', '1730', '17301']"
1596,17302,Squamous cell carcinoma of skin of lip,"['140-239', '170-176', '173', '1730', '17302']"
1597,17309,Other specified malignant neoplasm of skin of lip,"['140-239', '170-176', '173', '1730', '17309']"
1598,1731,"Oth and unspec malignant neoplasm of eyelid, including canthus","['140-239', '170-176', '173', '1731']"
1599,17310,"Unspecified malignant neoplasm of eyelid, including canthus","['140-239', '170-176', '173', '1731', '17310']"
1600,17311,"Basal cell carcinoma of eyelid, including canthus","['140-239', '170-176', '173', '1731', '17311']"
1601,17312,"Squamous cell carcinoma of eyelid, including canthus","['140-239', '170-176', '173', '1731', '17312']"
1602,17319,"Other specified malignant neoplasm of eyelid, including canthus","['140-239', '170-176', '173', '1731', '17319']"
1603,1732,Oth and unspec malignant neoplasm of skin of ear and external auditory canal,"['140-239', '170-176', '173', '1732']"
1604,17320,Unspecified malignant neoplasm of skin of ear and external auditory canal,"['140-239', '170-176', '173', '1732', '17320']"
1605,17321,Basal cell carcinoma of skin of ear and external auditory canal,"['140-239', '170-176', '173', '1732', '17321']"
1606,17322,Squamous cell carcinoma of skin of ear and external auditory canal,"['140-239', '170-176', '173', '1732', '17322']"
1607,17329,Other specified malignant neoplasm of skin of ear and external auditory canal,"['140-239', '170-176', '173', '1732', '17329']"
1608,1733,Oth and unspec malignant neoplasm of skin of oth and unspec parts of face,"['140-239', '170-176', '173', '1733']"
1609,17330,Unspecified malignant neoplasm of skin of other and unspecified parts of face,"['140-239', '170-176', '173', '1733', '17330']"
1610,17331,Basal cell carcinoma of skin of other and unspecified parts of face,"['140-239', '170-176', '173', '1733', '17331']"
1611,17332,Squamous cell carcinoma of skin of other and unspecified parts of face,"['140-239', '170-176', '173', '1733', '17332']"
1612,17339,Other specified malignant neoplasm of skin of other and unspecified parts of face,"['140-239', '170-176', '173', '1733', '17339']"
1613,1734,Oth and unspec malignant neoplasm of scalp and skin of neck,"['140-239', '170-176', '173', '1734']"
1614,17340,Unspecified malignant neoplasm of scalp and skin of neck,"['140-239', '170-176', '173', '1734', '17340']"
1615,17341,Basal cell carcinoma of scalp and skin of neck,"['140-239', '170-176', '173', '1734', '17341']"
1616,17342,Squamous cell carcinoma of scalp and skin of neck,"['140-239', '170-176', '173', '1734', '17342']"
1617,17349,Other specified malignant neoplasm of scalp and skin of neck,"['140-239', '170-176', '173', '1734', '17349']"
1618,1735,"Oth and unspec malignant neoplasm of skin of trunk, except scrotum","['140-239', '170-176', '173', '1735']"
1619,17350,"Unspecified malignant neoplasm of skin of trunk, except scrotum","['140-239', '170-176', '173', '1735', '17350']"
1620,17351,"Basal cell carcinoma of skin of trunk, except scrotum","['140-239', '170-176', '173', '1735', '17351']"
1621,17352,"Squamous cell carcinoma of skin of trunk, except scrotum","['140-239', '170-176', '173', '1735', '17352']"
1622,17359,"Other specified malignant neoplasm of skin of trunk, except scrotum","['140-239', '170-176', '173', '1735', '17359']"
1623,1736,"Oth and unspec malignant neoplasm of skin of upper limb, including shoulder","['140-239', '170-176', '173', '1736']"
1624,17360,"Unspecified malignant neoplasm of skin of upper limb, including shoulder","['140-239', '170-176', '173', '1736', '17360']"
1625,17361,"Basal cell carcinoma of skin of upper limb, including shoulder","['140-239', '170-176', '173', '1736', '17361']"
1626,17362,"Squamous cell carcinoma of skin of upper limb, including shoulder","['140-239', '170-176', '173', '1736', '17362']"
1627,17369,"Other specified malignant neoplasm of skin of upper limb, including shoulder","['140-239', '170-176', '173', '1736', '17369']"
1628,1737,"Oth and unspec malignant neoplasm of skin of lower limb, including hip","['140-239', '170-176', '173', '1737']"
1629,17370,"Unspecified malignant neoplasm of skin of lower limb, including hip","['140-239', '170-176', '173', '1737', '17370']"
1630,17371,"Basal cell carcinoma of skin of lower limb, including hip","['140-239', '170-176', '173', '1737', '17371']"
1631,17372,"Squamous cell carcinoma of skin of lower limb, including hip","['140-239', '170-176', '173', '1737', '17372']"
1632,17379,"Other specified malignant neoplasm of skin of lower limb, including hip","['140-239', '170-176', '173', '1737', '17379']"
1633,1738,Oth and unspec malignant neoplasm of oth spec sites of skin,"['140-239', '170-176', '173', '1738']"
1634,17380,Unspecified malignant neoplasm of other specified sites of skin,"['140-239', '170-176', '173', '1738', '17380']"
1635,17381,Basal cell carcinoma of other specified sites of skin,"['140-239', '170-176', '173', '1738', '17381']"
1636,17382,Squamous cell carcinoma of other specified sites of skin,"['140-239', '170-176', '173', '1738', '17382']"
1637,17389,Other specified malignant neoplasm of other specified sites of skin,"['140-239', '170-176', '173', '1738', '17389']"
1638,1739,"Oth and unspec malignant neoplasm of skin, site unspec","['140-239', '170-176', '173', '1739']"
1639,17390,"Unspecified malignant neoplasm of skin, site unspecified","['140-239', '170-176', '173', '1739', '17390']"
1640,17391,"Basal cell carcinoma of skin, site unspecified","['140-239', '170-176', '173', '1739', '17391']"
1641,17392,"Squamous cell carcinoma of skin, site unspecified","['140-239', '170-176', '173', '1739', '17392']"
1642,17399,"Other specified malignant neoplasm of skin, site unspecified","['140-239', '170-176', '173', '1739', '17399']"
1643,1740,Malignant neoplasm of nipple and areola of female breast,"['140-239', '170-176', '174', '1740']"
1644,1741,Malignant neoplasm of central portion of female breast,"['140-239', '170-176', '174', '1741']"
1645,1742,Malignant neoplasm of upper-inner quadrant of female breast,"['140-239', '170-176', '174', '1742']"
1646,1743,Malignant neoplasm of lower-inner quadrant of female breast,"['140-239', '170-176', '174', '1743']"
1647,1744,Malignant neoplasm of upper-outer quadrant of female breast,"['140-239', '170-176', '174', '1744']"
1648,1745,Malignant neoplasm of lower-outer quadrant of female breast,"['140-239', '170-176', '174', '1745']"
1649,1746,Malignant neoplasm of axillary tail of female breast,"['140-239', '170-176', '174', '1746']"
1650,1748,Malignant neoplasm of other specified sites of female breast,"['140-239', '170-176', '174', '1748']"
1651,1749,"Malignant neoplasm of breast (female), unspecified","['140-239', '170-176', '174', '1749']"
1652,1750,Malignant neoplasm of nipple and areola of male breast,"['140-239', '170-176', '175', '1750']"
1653,1759,Malignant neoplasm of other and unspecified sites of male breast,"['140-239', '170-176', '175', '1759']"
1654,1760,"Kaposi's sarcoma, skin","['140-239', '170-176', '176', '1760']"
1655,1761,"Kaposi's sarcoma, soft tissue","['140-239', '170-176', '176', '1761']"
1656,1762,"Kaposi's sarcoma, palate","['140-239', '170-176', '176', '1762']"
1657,1763,"Kaposi's sarcoma, gastrointestinal sites","['140-239', '170-176', '176', '1763']"
1658,1764,"Kaposi's sarcoma, lung","['140-239', '170-176', '176', '1764']"
1659,1765,"Kaposi's sarcoma, lymph nodes","['140-239', '170-176', '176', '1765']"
1660,1768,"Kaposi's sarcoma, other specified sites","['140-239', '170-176', '176', '1768']"
1661,1769,"Kaposi's sarcoma, unspecified site","['140-239', '170-176', '176', '1769']"
1662,179,"Malignant neoplasm of uterus, part unspecified","['140-239', '179-189', '179']"
1663,1800,Malignant neoplasm of endocervix,"['140-239', '179-189', '180', '1800']"
1664,1801,Malignant neoplasm of exocervix,"['140-239', '179-189', '180', '1801']"
1665,1808,Malignant neoplasm of other specified sites of cervix,"['140-239', '179-189', '180', '1808']"
1666,1809,"Malignant neoplasm of cervix uteri, unspecified site","['140-239', '179-189', '180', '1809']"
1667,181,Malignant neoplasm of placenta,"['140-239', '179-189', '181']"
1668,1820,"Malignant neoplasm of corpus uteri, except isthmus","['140-239', '179-189', '182', '1820']"
1669,1821,Malignant neoplasm of isthmus,"['140-239', '179-189', '182', '1821']"
1670,1828,Malignant neoplasm of other specified sites of body of uterus,"['140-239', '179-189', '182', '1828']"
1671,1830,Malignant neoplasm of ovary,"['140-239', '179-189', '183', '1830']"
1672,1832,Malignant neoplasm of fallopian tube,"['140-239', '179-189', '183', '1832']"
1673,1833,Malignant neoplasm of broad ligament of uterus,"['140-239', '179-189', '183', '1833']"
1674,1834,Malignant neoplasm of parametrium,"['140-239', '179-189', '183', '1834']"
1675,1835,Malignant neoplasm of round ligament of uterus,"['140-239', '179-189', '183', '1835']"
1676,1838,Malignant neoplasm of other specified sites of uterine adnexa,"['140-239', '179-189', '183', '1838']"
1677,1839,"Malignant neoplasm of uterine adnexa, unspecified site","['140-239', '179-189', '183', '1839']"
1678,1840,Malignant neoplasm of vagina,"['140-239', '179-189', '184', '1840']"
1679,1841,Malignant neoplasm of labia majora,"['140-239', '179-189', '184', '1841']"
1680,1842,Malignant neoplasm of labia minora,"['140-239', '179-189', '184', '1842']"
1681,1843,Malignant neoplasm of clitoris,"['140-239', '179-189', '184', '1843']"
1682,1844,"Malignant neoplasm of vulva, unspecified site","['140-239', '179-189', '184', '1844']"
1683,1848,Malignant neoplasm of other specified sites of female genital organs,"['140-239', '179-189', '184', '1848']"
1684,1849,"Malignant neoplasm of female genital organ, site unspecified","['140-239', '179-189', '184', '1849']"
1685,185,Malignant neoplasm of prostate,"['140-239', '179-189', '185']"
1686,1860,Malignant neoplasm of undescended testis,"['140-239', '179-189', '186', '1860']"
1687,1869,Malignant neoplasm of other and unspecified testis,"['140-239', '179-189', '186', '1869']"
1688,1871,Malignant neoplasm of prepuce,"['140-239', '179-189', '187', '1871']"
1689,1872,Malignant neoplasm of glans penis,"['140-239', '179-189', '187', '1872']"
1690,1873,Malignant neoplasm of body of penis,"['140-239', '179-189', '187', '1873']"
1691,1874,"Malignant neoplasm of penis, part unspecified","['140-239', '179-189', '187', '1874']"
1692,1875,Malignant neoplasm of epididymis,"['140-239', '179-189', '187', '1875']"
1693,1876,Malignant neoplasm of spermatic cord,"['140-239', '179-189', '187', '1876']"
1694,1877,Malignant neoplasm of scrotum,"['140-239', '179-189', '187', '1877']"
1695,1878,Malignant neoplasm of other specified sites of male genital organs,"['140-239', '179-189', '187', '1878']"
1696,1879,"Malignant neoplasm of male genital organ, site unspecified","['140-239', '179-189', '187', '1879']"
1697,1880,Malignant neoplasm of trigone of urinary bladder,"['140-239', '179-189', '188', '1880']"
1698,1881,Malignant neoplasm of dome of urinary bladder,"['140-239', '179-189', '188', '1881']"
1699,1882,Malignant neoplasm of lateral wall of urinary bladder,"['140-239', '179-189', '188', '1882']"
1700,1883,Malignant neoplasm of anterior wall of urinary bladder,"['140-239', '179-189', '188', '1883']"
1701,1884,Malignant neoplasm of posterior wall of urinary bladder,"['140-239', '179-189', '188', '1884']"
1702,1885,Malignant neoplasm of bladder neck,"['140-239', '179-189', '188', '1885']"
1703,1886,Malignant neoplasm of ureteric orifice,"['140-239', '179-189', '188', '1886']"
1704,1887,Malignant neoplasm of urachus,"['140-239', '179-189', '188', '1887']"
1705,1888,Malignant neoplasm of other specified sites of bladder,"['140-239', '179-189', '188', '1888']"
1706,1889,"Malignant neoplasm of bladder, part unspecified","['140-239', '179-189', '188', '1889']"
1707,1890,"Malignant neoplasm of kidney, except pelvis","['140-239', '179-189', '189', '1890']"
1708,1891,Malignant neoplasm of renal pelvis,"['140-239', '179-189', '189', '1891']"
1709,1892,Malignant neoplasm of ureter,"['140-239', '179-189', '189', '1892']"
1710,1893,Malignant neoplasm of urethra,"['140-239', '179-189', '189', '1893']"
1711,1894,Malignant neoplasm of paraurethral glands,"['140-239', '179-189', '189', '1894']"
1712,1898,Malignant neoplasm of other specified sites of urinary organs,"['140-239', '179-189', '189', '1898']"
1713,1899,"Malignant neoplasm of urinary organ, site unspecified","['140-239', '179-189', '189', '1899']"
1714,1900,"Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid","['140-239', '190-199', '190', '1900']"
1715,1901,Malignant neoplasm of orbit,"['140-239', '190-199', '190', '1901']"
1716,1902,Malignant neoplasm of lacrimal gland,"['140-239', '190-199', '190', '1902']"
1717,1903,Malignant neoplasm of conjunctiva,"['140-239', '190-199', '190', '1903']"
1718,1904,Malignant neoplasm of cornea,"['140-239', '190-199', '190', '1904']"
1719,1905,Malignant neoplasm of retina,"['140-239', '190-199', '190', '1905']"
1720,1906,Malignant neoplasm of choroid,"['140-239', '190-199', '190', '1906']"
1721,1907,Malignant neoplasm of lacrimal duct,"['140-239', '190-199', '190', '1907']"
1722,1908,Malignant neoplasm of other specified sites of eye,"['140-239', '190-199', '190', '1908']"
1723,1909,"Malignant neoplasm of eye, part unspecified","['140-239', '190-199', '190', '1909']"
1724,1910,"Malignant neoplasm of cerebrum, except lobes and ventricles","['140-239', '190-199', '191', '1910']"
1725,1911,Malignant neoplasm of frontal lobe,"['140-239', '190-199', '191', '1911']"
1726,1912,Malignant neoplasm of temporal lobe,"['140-239', '190-199', '191', '1912']"
1727,1913,Malignant neoplasm of parietal lobe,"['140-239', '190-199', '191', '1913']"
1728,1914,Malignant neoplasm of occipital lobe,"['140-239', '190-199', '191', '1914']"
1729,1915,Malignant neoplasm of ventricles,"['140-239', '190-199', '191', '1915']"
1730,1916,Malignant neoplasm of cerebellum nos,"['140-239', '190-199', '191', '1916']"
1731,1917,Malignant neoplasm of brain stem,"['140-239', '190-199', '191', '1917']"
1732,1918,Malignant neoplasm of other parts of brain,"['140-239', '190-199', '191', '1918']"
1733,1919,"Malignant neoplasm of brain, unspecified","['140-239', '190-199', '191', '1919']"
1734,1920,Malignant neoplasm of cranial nerves,"['140-239', '190-199', '192', '1920']"
1735,1921,Malignant neoplasm of cerebral meninges,"['140-239', '190-199', '192', '1921']"
1736,1922,Malignant neoplasm of spinal cord,"['140-239', '190-199', '192', '1922']"
1737,1923,Malignant neoplasm of spinal meninges,"['140-239', '190-199', '192', '1923']"
1738,1928,Malignant neoplasm of other specified sites of nervous system,"['140-239', '190-199', '192', '1928']"
1739,1929,"Malignant neoplasm of nervous system, part unspecified","['140-239', '190-199', '192', '1929']"
1740,193,Malignant neoplasm of thyroid gland,"['140-239', '190-199', '193']"
1741,1940,Malignant neoplasm of adrenal gland,"['140-239', '190-199', '194', '1940']"
1742,1941,Malignant neoplasm of parathyroid gland,"['140-239', '190-199', '194', '1941']"
1743,1943,Malignant neoplasm of pituitary gland and craniopharyngeal duct,"['140-239', '190-199', '194', '1943']"
1744,1944,Malignant neoplasm of pineal gland,"['140-239', '190-199', '194', '1944']"
1745,1945,Malignant neoplasm of carotid body,"['140-239', '190-199', '194', '1945']"
1746,1946,Malignant neoplasm of aortic body and other paraganglia,"['140-239', '190-199', '194', '1946']"
1747,1948,Malignant neoplasm of other endocrine glands and related structures,"['140-239', '190-199', '194', '1948']"
1748,1949,"Malignant neoplasm of endocrine gland, site unspecified","['140-239', '190-199', '194', '1949']"
1749,1950,"Malignant neoplasm of head, face, and neck","['140-239', '190-199', '195', '1950']"
1750,1951,Malignant neoplasm of thorax,"['140-239', '190-199', '195', '1951']"
1751,1952,Malignant neoplasm of abdomen,"['140-239', '190-199', '195', '1952']"
1752,1953,Malignant neoplasm of pelvis,"['140-239', '190-199', '195', '1953']"
1753,1954,Malignant neoplasm of upper limb,"['140-239', '190-199', '195', '1954']"
1754,1955,Malignant neoplasm of lower limb,"['140-239', '190-199', '195', '1955']"
1755,1958,Malignant neoplasm of other specified sites,"['140-239', '190-199', '195', '1958']"
1756,1960,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck","['140-239', '190-199', '196', '1960']"
1757,1961,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,"['140-239', '190-199', '196', '1961']"
1758,1962,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,"['140-239', '190-199', '196', '1962']"
1759,1963,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,"['140-239', '190-199', '196', '1963']"
1760,1965,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,"['140-239', '190-199', '196', '1965']"
1761,1966,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,"['140-239', '190-199', '196', '1966']"
1762,1968,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites,"['140-239', '190-199', '196', '1968']"
1763,1969,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified","['140-239', '190-199', '196', '1969']"
1764,1970,Secondary malignant neoplasm of lung,"['140-239', '190-199', '197', '1970']"
1765,1971,Secondary malignant neoplasm of mediastinum,"['140-239', '190-199', '197', '1971']"
1766,1972,Secondary malignant neoplasm of pleura,"['140-239', '190-199', '197', '1972']"
1767,1973,Secondary malignant neoplasm of other respiratory organs,"['140-239', '190-199', '197', '1973']"
1768,1974,Secondary malignant neoplasm of small intestine including duodenum,"['140-239', '190-199', '197', '1974']"
1769,1975,Secondary malignant neoplasm of large intestine and rectum,"['140-239', '190-199', '197', '1975']"
1770,1976,Secondary malignant neoplasm of retroperitoneum and peritoneum,"['140-239', '190-199', '197', '1976']"
1771,1977,"Malignant neoplasm of liver, secondary","['140-239', '190-199', '197', '1977']"
1772,1978,Secondary malignant neoplasm of other digestive organs and spleen,"['140-239', '190-199', '197', '1978']"
1773,1980,Secondary malignant neoplasm of kidney,"['140-239', '190-199', '198', '1980']"
1774,1981,Secondary malignant neoplasm of other urinary organs,"['140-239', '190-199', '198', '1981']"
1775,1982,Secondary malignant neoplasm of skin,"['140-239', '190-199', '198', '1982']"
1776,1983,Secondary malignant neoplasm of brain and spinal cord,"['140-239', '190-199', '198', '1983']"
1777,1984,Secondary malignant neoplasm of other parts of nervous system,"['140-239', '190-199', '198', '1984']"
1778,1985,Secondary malignant neoplasm of bone and bone marrow,"['140-239', '190-199', '198', '1985']"
1779,1986,Secondary malignant neoplasm of ovary,"['140-239', '190-199', '198', '1986']"
1780,1987,Secondary malignant neoplasm of adrenal gland,"['140-239', '190-199', '198', '1987']"
1781,1988,Secondary malignant neoplasm of other specified sites,"['140-239', '190-199', '198', '1988']"
1782,19881,Secondary malignant neoplasm of breast,"['140-239', '190-199', '198', '1988', '19881']"
1783,19882,Secondary malignant neoplasm of genital organs,"['140-239', '190-199', '198', '1988', '19882']"
1784,19889,Secondary malignant neoplasm of other specified sites,"['140-239', '190-199', '198', '1988', '19889']"
1785,1990,Disseminated malignant neoplasm without specification of site,"['140-239', '190-199', '199', '1990']"
1786,1991,Other malignant neoplasm without specification of site,"['140-239', '190-199', '199', '1991']"
1787,1992,Malignant neoplasm associated with transplant organ,"['140-239', '190-199', '199', '1992']"
1788,2000,Reticulosarcoma,"['140-239', '200-209', '200', '2000']"
1789,20000,"Reticulosarcoma, unspecified site, extranodal and solid organ sites","['140-239', '200-209', '200', '2000', '20000']"
1790,20001,"Reticulosarcoma, lymph nodes of head, face, and neck","['140-239', '200-209', '200', '2000', '20001']"
1791,20002,"Reticulosarcoma, intrathoracic lymph nodes","['140-239', '200-209', '200', '2000', '20002']"
1792,20003,"Reticulosarcoma, intra-abdominal lymph nodes","['140-239', '200-209', '200', '2000', '20003']"
1793,20004,"Reticulosarcoma, lymph nodes of axilla and upper limb","['140-239', '200-209', '200', '2000', '20004']"
1794,20005,"Reticulosarcoma, lymph nodes of inguinal region and lower limb","['140-239', '200-209', '200', '2000', '20005']"
1795,20006,"Reticulosarcoma, intrapelvic lymph nodes","['140-239', '200-209', '200', '2000', '20006']"
1796,20007,"Reticulosarcoma, spleen","['140-239', '200-209', '200', '2000', '20007']"
1797,20008,"Reticulosarcoma, lymph nodes of multiple sites","['140-239', '200-209', '200', '2000', '20008']"
1798,2001,Lymphosarcoma,"['140-239', '200-209', '200', '2001']"
1799,20010,"Lymphosarcoma, unspecified site, extranodal and solid organ sites","['140-239', '200-209', '200', '2001', '20010']"
1800,20011,"Lymphosarcoma, lymph nodes of head, face, and neck","['140-239', '200-209', '200', '2001', '20011']"
1801,20012,"Lymphosarcoma, intrathoracic lymph nodes","['140-239', '200-209', '200', '2001', '20012']"
1802,20013,"Lymphosarcoma, intra-abdominal lymph nodes","['140-239', '200-209', '200', '2001', '20013']"
1803,20014,"Lymphosarcoma, lymph nodes of axilla and upper limb","['140-239', '200-209', '200', '2001', '20014']"
1804,20015,"Lymphosarcoma, lymph nodes of inguinal region and lower limb","['140-239', '200-209', '200', '2001', '20015']"
1805,20016,"Lymphosarcoma, intrapelvic lymph nodes","['140-239', '200-209', '200', '2001', '20016']"
1806,20017,"Lymphosarcoma, spleen","['140-239', '200-209', '200', '2001', '20017']"
1807,20018,"Lymphosarcoma, lymph nodes of multiple sites","['140-239', '200-209', '200', '2001', '20018']"
1808,2002,Burkitt's tumor or lymphoma,"['140-239', '200-209', '200', '2002']"
1809,20020,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites","['140-239', '200-209', '200', '2002', '20020']"
1810,20021,"Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck","['140-239', '200-209', '200', '2002', '20021']"
1811,20022,"Burkitt's tumor or lymphoma, intrathoracic lymph nodes","['140-239', '200-209', '200', '2002', '20022']"
1812,20023,"Burkitt's tumor or lymphoma, intra-abdominal lymph nodes","['140-239', '200-209', '200', '2002', '20023']"
1813,20024,"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb","['140-239', '200-209', '200', '2002', '20024']"
1814,20025,"Burkitt's tumor or lymphoma, lymph nodes of inguinal region and lower limb","['140-239', '200-209', '200', '2002', '20025']"
1815,20026,"Burkitt's tumor or lymphoma, intrapelvic lymph nodes","['140-239', '200-209', '200', '2002', '20026']"
1816,20027,"Burkitt's tumor or lymphoma, spleen","['140-239', '200-209', '200', '2002', '20027']"
1817,20028,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites","['140-239', '200-209', '200', '2002', '20028']"
1818,2003,Marginal zone lymphoma,"['140-239', '200-209', '200', '2003']"
1819,20030,"Marginal zone lymphoma, unspecified site, extranodal and solid organ sites","['140-239', '200-209', '200', '2003', '20030']"
1820,20031,"Marginal zone lymphoma, lymph nodes of head, face, and neck","['140-239', '200-209', '200', '2003', '20031']"
1821,20032,"Marginal zone lymphoma, intrathoracic lymph nodes","['140-239', '200-209', '200', '2003', '20032']"
1822,20033,"Marginal zone lymphoma, intraabdominal lymph nodes","['140-239', '200-209', '200', '2003', '20033']"
1823,20034,"Marginal zone lymphoma, lymph nodes of axilla and upper limb","['140-239', '200-209', '200', '2003', '20034']"
